productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCost,extCounterplus
599769,Monkey.D.Luffy,MonkeyDLuffy,https://tcgplayer-cdn.tcgplayer.com/product/599769_200w.jpg,68,23890,https://cpt.tcgcsv.com/pWP6,2024-11-26T19:02:15.213,1,L,ST01-001,[Activate: Main] [Once Per Turn] Give this Leader or 1 of your Characters up to 1 rested DON!! card.,Red,Leader,5,5000,Straw Hat Crew;Supernovas,Strike,0.88,1.31,4.99,1.32,,Normal,,
599774,Onigashima Island,Onigashima Island,https://tcgplayer-cdn.tcgplayer.com/product/599774_200w.jpg,68,23890,https://cpt.tcgcsv.com/vWP6,2024-11-26T19:03:35.113,1,C,ST04-017,"[Activate: Main] <strong>You may rest this Stage</strong>: If your Leader has the {Animal Kingdom Pirates} type, add up to 1 DON!! card from your DON!! deck and rest it.",Purple,Stage,,,Animal Kingdom Pirates,,0.36,0.99,3.0,0.61,,Normal,3,
599777,Jinbe,Jinbe,https://tcgplayer-cdn.tcgplayer.com/product/599777_200w.jpg,68,23890,https://cpt.tcgcsv.com/zWP6,2024-11-26T19:04:08.047,1,C,ST01-005,[DON!! x1] [When Attacking] Up to 1 of your Leader or Character cards other than this card gains +1000 power during this turn.,Red,Character,,5000,Fish-Man;Straw Hat Crew,Strike,0.09,0.21,1.55,0.17,,Normal,3,
599780,Blast Breath,Blast Breath,https://tcgplayer-cdn.tcgplayer.com/product/599780_200w.jpg,68,23890,https://cpt.tcgcsv.com/DWP6,2024-11-26T19:04:40.093,1,C,ST04-016,[Counter] DON!! -1 <em>(You may return the specified number of DON!! cards from your field to your DON!! deck.)</em>: Up to 1 of your Leader or Character cards gains +4000 power during this battle.,Purple,Event,,,Animal Kingdom Pirates;The Four Emperors,,0.12,0.25,5.99,0.19,,Normal,1,
599781,Nami,Nami,https://tcgplayer-cdn.tcgplayer.com/product/599781_200w.jpg,68,23890,https://cpt.tcgcsv.com/FWP6,2024-11-26T19:04:42.893,1,C,ST01-007,[Activate: Main] [Once Per Turn] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.,Red,Character,,1000,Straw Hat Crew,Special,0.8,2.18,500.0,1.34,,Normal,1,1000
599784,Guard Point,Guard Point,https://tcgplayer-cdn.tcgplayer.com/product/599784_200w.jpg,68,23890,https://cpt.tcgcsv.com/JWP6,2024-11-26T19:05:09.75,1,C,ST01-014,"[Counter] Up to 1 of your Leader or Character cards gains +3000 power during this battle. 
<br>[Trigger] Up to 1 of your Leader or Character cards gains +1000 power during this turn.",Red,Event,,,Animal;Straw Hat Crew,,0.02,0.25,2.0,0.18,,Normal,1,
599785,Brachio Bomber,Brachio Bomber,https://tcgplayer-cdn.tcgplayer.com/product/599785_200w.jpg,68,23890,https://cpt.tcgcsv.com/KWP6,2024-11-26T19:05:58.693,1,C,ST04-015,"[Main] K.O. up to 1 of your opponent's Characters with a cost of 6 or less, then add up to 1 DON!! card from your DON!! deck and set it as active. 
<br>[Trigger] Add up to 1 DON!! card from your DON!! deck and set it as active.",Purple,Event,,,Animal Kingdom Pirates,,0.39,0.82,5.99,0.82,,Normal,6,
599789,Gum-Gum Jet Pistol,Gum Gum Jet Pistol,https://tcgplayer-cdn.tcgplayer.com/product/599789_200w.jpg,68,23890,https://cpt.tcgcsv.com/PWP6,2024-11-26T19:08:10.63,1,C,ST01-015,"[Main] K.O. up to 1 of your opponent's Characters with 6000 power or less.
<br>[Trigger] Activate this card's [Main] effect.",Red,Event,,,Straw Hat Crew;Supernovas,,0.25,0.75,3.49,0.61,,Normal,4,
599793,Diable Jambe,Diable Jambe,https://tcgplayer-cdn.tcgplayer.com/product/599793_200w.jpg,68,23890,https://cpt.tcgcsv.com/TWP6,2024-11-26T19:09:24.103,1,C,ST01-016,"[Main] Select up to 1 of your {Straw Hat Crew} type Leader or Character cards. Your opponent cannot activate [Blocker] if that Leader or Character attacks during this turn. 
<br>[Trigger] K.O. up to 1 of your opponent's [Blocker] Characters with a cost of 3 or less.",Red,Event,,,Straw Hat Crew,,0.48,1.62,6.38,0.94,,Normal,1,
599796,"Lead Performer ""Disaster""",Lead Performer Disaster,https://tcgplayer-cdn.tcgplayer.com/product/599796_200w.jpg,68,23890,https://cpt.tcgcsv.com/XWP6,2024-11-26T19:10:13.53,1,C,ST04-014,"[Main] Draw 1 card, then add up to 1 DON!! card from your DON!! deck and set it as active. [Trigger] <br>Activate this card's [Main] effect.",Purple,Event,,,Animal Kingdom Pirates,,0.64,3.28,13.0,1.2,,Normal,4,
