productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
516299,Devil Fruits Collection Vol. 1,Devil Fruits Collection Vol 1,https://tcgplayer-cdn.tcgplayer.com/product/516299_200w.jpg,68,23304,https://cpt.tcgcsv.com/_w86,2023-11-03T04:03:24.393,1,56.85,67.79,125.0,53.14,,Normal
516301,Devil Fruits Collection Vol. 1 Case,Devil Fruits Collection Vol 1 Case,https://tcgplayer-cdn.tcgplayer.com/product/516301_200w.jpg,68,23304,https://cpt.tcgcsv.com/2x86,2023-11-03T04:03:24.393,1,,,,,,
536154,One Piece Card Game: Japanese 1st Anniversary Set (Sealed Promotional Bundle),One Piece Card Game Japanese 1st Anniversary Set Sealed Promotional Bundle,https://tcgplayer-cdn.tcgplayer.com/product/536154_200w.jpg,68,23304,https://cpt.tcgcsv.com/6tj6,2025-08-06T14:33:54.217,1,155.99,169.38,499.99,157.06,,Normal
536588,One Piece Card Game: English Version 1st Anniversary Set (Sealed Promotional Bundle),One Piece Card Game English Version 1st Anniversary Set Sealed Promotional Bundle,https://tcgplayer-cdn.tcgplayer.com/product/536588_200w.jpg,68,23304,https://cpt.tcgcsv.com/NFj6,2025-08-06T14:34:01.883,1,650.0,950.0,15000.0,438.54,,Normal
593446,Devil Fruits Collection Vol. 2,Devil Fruits Collection Vol 2,https://tcgplayer-cdn.tcgplayer.com/product/593446_200w.jpg,68,23304,https://cpt.tcgcsv.com/XnM6,2024-11-14T19:56:13.75,1,30.71,37.75,53.87,32.57,,Normal
593447,Devil Fruits Collection Vol. 2 Case,Devil Fruits Collection Vol 2 Case,https://tcgplayer-cdn.tcgplayer.com/product/593447_200w.jpg,68,23304,https://cpt.tcgcsv.com/ZnM6,2024-11-14T19:56:38.157,1,,,,,,
617585,One Piece Japanese Version 2nd Anniversary Set (Sealed Promotional Bundle),One Piece Japanese Version 2nd Anniversary Set Sealed Promotional Bundle,https://tcgplayer-cdn.tcgplayer.com/product/617585_200w.jpg,68,23304,https://cpt.tcgcsv.com/K2Z6,2025-03-07T05:10:14.063,1,280.0,289.99,448.0,288.39,,Normal
635482,One Piece English Version 2nd Anniversary Set (Sealed Promotional Bundle),One Piece English Version 2nd Anniversary Set Sealed Promotional Bundle,https://tcgplayer-cdn.tcgplayer.com/product/635482_200w.jpg,68,23304,https://cpt.tcgcsv.com/Gc67,2025-07-09T18:21:28.31,1,414.96,429.95,499.99,374.71,,Normal
649748,Devil Fruits Collection Vol. 3,Devil Fruits Collection Vol 3,https://tcgplayer-cdn.tcgplayer.com/product/649748_200w.jpg,68,23304,https://cpt.tcgcsv.com/-Vc7,2025-09-02T15:34:55.953,1,,,,,,
649749,Devil Fruits Collection Vol. 3 Case,Devil Fruits Collection Vol 3 Case,https://tcgplayer-cdn.tcgplayer.com/product/649749_200w.jpg,68,23304,https://cpt.tcgcsv.com/_Vc7,2025-09-02T15:35:09.58,1,,,,,,
