productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extCost,extSubtypes,extPower,extCounterplus,extAttribute
649244,Legacy of the Master - Release Event Pack,Legacy of the Master Release Event Pack,https://tcgplayer-cdn.tcgplayer.com/product/649244_200w.jpg,68,24406,https://cpt.tcgcsv.com/VJc7,2025-08-15T13:27:08.743,1,0.48,2.21,6.57,2.07,,Normal,,,,,,,,,,
649248,We'll Ring the Bell Waiting for You!!,Well Ring the Bell Waiting for You,https://tcgplayer-cdn.tcgplayer.com/product/649248_200w.jpg,68,24406,https://cpt.tcgcsv.com/-Jc7,2025-08-15T13:27:02.653,1,0.39,0.7,7.0,0.5,,Normal,C,OP12-116,"[Main] Look at 5 cards from the top of your deck; reveal a total of up to 2 ""Shandian Warrior"" type Character cards or [Mont Blanc Noland] and add them to your hand. Then, place the rest at the bottom of your deck in any order.<br>
[Trigger] Draw 1 card.",Yellow,Event,3,Sky Island;Shandian Warrior;Jaya,,,
649250,Baby 5 (111),Baby 5 111,https://tcgplayer-cdn.tcgplayer.com/product/649250_200w.jpg,68,24406,https://cpt.tcgcsv.com/0Kc7,2025-08-15T13:26:56.967,1,0.29,1.3,3.01,1.59,,Normal,C,OP12-111,,Yellow,Character,2,Donquixote Pirates,4000,1000,Special
649251,Buffalo,Buffalo,https://tcgplayer-cdn.tcgplayer.com/product/649251_200w.jpg,68,24406,https://cpt.tcgcsv.com/2Kc7,2025-08-15T13:26:49.973,1,0.1,0.42,9.99,0.39,,Normal,C,OP12-110,,Yellow,Character,3,Donquixote Pirates,5000,1000,Strike
649252,Pacifista,Pacifista,https://tcgplayer-cdn.tcgplayer.com/product/649252_200w.jpg,68,24406,https://cpt.tcgcsv.com/3Kc7,2025-08-15T13:26:43.077,1,0.44,0.8,10.0,0.74,,Normal,C,OP12-109,[Trigger] K.O. up to 1 of your opponent's Characters with a cost of 1 or less and add this card to your hand.,Yellow,Character,4,Biological Weapon;Navy;Egghead,5000,1000,Special
649253,Trafalgar Lammy,Trafalgar Lammy,https://tcgplayer-cdn.tcgplayer.com/product/649253_200w.jpg,68,24406,https://cpt.tcgcsv.com/5Kc7,2025-08-15T13:26:37.13,1,0.35,1.49,6.0,1.47,,Normal,C,OP12-105,[Your Turn] [On Play] Up to 1 of your [Trafalgar Law] cards gains +2000 power during this turn.,Yellow,Character,1,Flevance,,2000,Wisdom
649254,Sentomaru,Sentomaru,https://tcgplayer-cdn.tcgplayer.com/product/649254_200w.jpg,68,24406,https://cpt.tcgcsv.com/6Kc7,2025-08-15T13:26:30.953,1,0.25,0.5,2.99,0.48,,Normal,C,OP12-104,[Trigger] K.O. up to 1 of your opponent's Characters with a cost of 4 or less.,Yellow,Character,4,Navy;Egghead,5000,1000,Slash
649255,Jewelry Bonney (101),Jewelry Bonney 101,https://tcgplayer-cdn.tcgplayer.com/product/649255_200w.jpg,68,24406,https://cpt.tcgcsv.com/7Kc7,2025-08-15T13:26:25.343,1,0.85,2.02,8.73,1.99,,Normal,C,OP12-101,"[Activate: Main] <strong>You may rest this Character:</strong> Your ""Supernovas"" type Leader gains +1000 power until the end of your opponent's next turn.",Yellow,Character,3,Bonney Pirates;Supernovas,1000,1000,Special
649256,Ursa Shock,Ursa Shock,https://tcgplayer-cdn.tcgplayer.com/product/649256_200w.jpg,68,24406,https://cpt.tcgcsv.com/8Kc7,2025-08-15T13:26:19.067,1,0.82,1.56,10.0,1.56,,Normal,C,OP12-096,"[Main] K.O. up to 1 of your opponent's Characters with a cost of 4 or less. If you have a Character with a cost of 8 or more, you may select your opponent's Character with a cost of 6 or less instead.<br>
[Trigger] Draw 1 card and trash 1 card from the top of your deck.",Black,Event,4,Revolutionary Army;The Seven Warlords of the Sea,,,
649257,Lindbergh,Lindbergh,https://tcgplayer-cdn.tcgplayer.com/product/649257_200w.jpg,68,24406,https://cpt.tcgcsv.com/9Kc7,2025-08-15T13:26:13.51,1,1.2,1.73,3.69,1.72,,Normal,C,OP12-095,"If your Leader has the ""Revolutionary Army"" type, this Character gains +4 cost.<br>
[On Play] Draw 1 card and trash 1 card from your hand.",Black,Character,4,Minks;Revolutionary Army,5000,1000,Special
649258,Poker,Poker,https://tcgplayer-cdn.tcgplayer.com/product/649258_200w.jpg,68,24406,https://cpt.tcgcsv.com/bKc7,2025-08-15T13:26:07.75,1,0.69,1.5,7.0,1.95,,Normal,C,OP12-091,"[Activate: Main] [Once Per Turn] <strong>You may place 3 cards from your trash at the bottom of your deck in any order:</strong> Up to 2 of your ""SMILE"" type Characters gain +2000 power during this turn.",Black,Character,3,Animal Kingdom Pirates;SMILE,4000,1000,Strike
649259,Belo Betty,Belo Betty,https://tcgplayer-cdn.tcgplayer.com/product/649259_200w.jpg,68,24406,https://cpt.tcgcsv.com/cKc7,2025-08-15T13:26:02.03,1,0.75,1.75,3.6,1.38,,Normal,C,OP12-090,[When Attacking] <strong>You may trash 2 cards from the top of your deck:</strong> Give up to 1 of your opponent's Characters 2 cost during this turn.,Black,Character,3,Revolutionary Army,4000,2000,Special
649260,Bastille,Bastille,https://tcgplayer-cdn.tcgplayer.com/product/649260_200w.jpg,68,24406,https://cpt.tcgcsv.com/dKc7,2025-08-15T13:25:56.43,1,0.18,0.35,1.99,0.23,,Normal,C,OP12-088,,Black,Character,6,Navy;Dressrosa,8000,1000,Slash
649261,Karasu,Karasu,https://tcgplayer-cdn.tcgplayer.com/product/649261_200w.jpg,68,24406,https://cpt.tcgcsv.com/fKc7,2025-08-15T13:25:50.447,1,0.79,1.25,4.99,1.23,,Normal,C,OP12-085,"If your Leader has the ""Revolutionary Army"" type, this Character gains +3 cost.<br>
[When Attacking] If your Leader has the ""Revolutionary Army"" type and your opponent has 5 or more cards in their hand, your opponent trashes 1 card from their hand.",Black,Character,5,Revolutionary Army,6000,1000,Special
649262,Issho,Issho,https://tcgplayer-cdn.tcgplayer.com/product/649262_200w.jpg,68,24406,https://cpt.tcgcsv.com/gKc7,2025-08-15T13:25:44.51,1,0.03,0.34,2.99,0.15,,Normal,C,OP12-082,,Black,Character,8,Navy;Dressrosa,10000,1000,Slash
649263,Baratie,Baratie,https://tcgplayer-cdn.tcgplayer.com/product/649263_200w.jpg,68,24406,https://cpt.tcgcsv.com/hKc7,2025-08-15T13:25:39.123,1,0.1,0.5,2.0,0.45,,Normal,C,OP12-080,"[Activate: Main] <strong>You may place this Stage at the bottom of the owner's deck:</strong> If your Leader is [Sanji], look at 3 cards from the top of your deck; reveal up to 1 Event and add it to your hand. Then, place the rest at the bottom of your deck in any order.<br>
[Trigger] Play this card.",Purple,Stage,1,East Blue,,,
649264,"The ""Extinguishes All Sound Created by Your Influence"" Technique",The Extinguishes All Sound Created by Your Influence Technique,https://tcgplayer-cdn.tcgplayer.com/product/649264_200w.jpg,68,24406,https://cpt.tcgcsv.com/jKc7,2025-08-15T13:25:33.66,1,0.1,1.21,8.99,1.53,,Normal,C,OP12-077,"[Main] Select up to 1 of your [Trafalgar Law] cards and that card gains +2000 power during this turn. Then, if the selected card attacks during this turn, your opponent cannot activate [Blocker].<br>
[Trigger] Draw 1 card.",Purple,Event,2,Heart Pirates,,,
649265,Ms. All Sunday,Ms All Sunday,https://tcgplayer-cdn.tcgplayer.com/product/649265_200w.jpg,68,24406,https://cpt.tcgcsv.com/kKc7,2025-08-15T13:25:27.703,1,1.5,2.99,10.0,1.62,,Normal,C,OP12-075,"[On Play] K.O. up to 1 of your opponent's Characters with a cost of 3 or less. Then, your opponent may add 1 DON!! card from their DON!! deck and set it as active.<br>
[Trigger] <strong>DON!! 1:</strong> Play this card.",Purple,Character,4,Baroque Works,5000,1000,Wisdom
649266,Patty,Patty,https://tcgplayer-cdn.tcgplayer.com/product/649266_200w.jpg,68,24406,https://cpt.tcgcsv.com/lKc7,2025-08-15T13:25:21.597,1,0.1,0.59,3.29,0.56,,Normal,C,OP12-074,"[On Play] <strong>You may trash 1 Event from your hand:</strong> If your Leader is [Sanji], add up to 1 DON!! card from your DON!! deck and set it as active.",Purple,Character,3,East Blue,2000,2000,Slash
649267,Crocodile,Crocodile,https://tcgplayer-cdn.tcgplayer.com/product/649267_200w.jpg,68,24406,https://cpt.tcgcsv.com/mKc7,2025-08-15T13:25:15.797,1,1.06,1.69,3.99,1.74,,Normal,C,OP12-069,"[On Your Opponent's Attack] [Once Per Turn] <strong>DON!! 1:</strong> If your Leader's type includes ""Baroque Works"", up to 1 of your Leader or Character cards gains +2000 power during this battle.",Purple,Character,6,Baroque Works;The Seven Warlords of the Sea,8000,,Special
649268,Carmen,Carmen,https://tcgplayer-cdn.tcgplayer.com/product/649268_200w.jpg,68,24406,https://cpt.tcgcsv.com/nKc7,2025-08-15T13:25:09.973,1,0.14,0.5,2.01,0.63,,Normal,C,OP12-067,,Purple,Character,3,East Blue,5000,1000,Wisdom
649269,Carne,Carne,https://tcgplayer-cdn.tcgplayer.com/product/649269_200w.jpg,68,24406,https://cpt.tcgcsv.com/pKc7,2025-08-15T13:25:02.923,1,0.19,0.5,0.99,0.46,,Normal,C,OP12-066,"If you have 4 or more Events in your trash, this Character gains [Blocker].<br>
<em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Purple,Character,1,East Blue,1000,1000,Slash
649270,Vergo,Vergo,https://tcgplayer-cdn.tcgplayer.com/product/649270_200w.jpg,68,24406,https://cpt.tcgcsv.com/qKc7,2025-08-15T13:24:55.113,1,0.1,0.4,1.49,0.3,,Normal,C,OP12-064,,Purple,Character,5,Donquixote Pirates;Navy;Punk Hazard,7000,1000,Strike
649271,I Will Make Whitebeard the King of the Pirates,I Will Make Whitebeard the King of the Pirates,https://tcgplayer-cdn.tcgplayer.com/product/649271_200w.jpg,68,24406,https://cpt.tcgcsv.com/rKc7,2025-08-15T13:24:39.733,1,0.9,1.49,4.6,1.4,,Normal,C,OP12-058,"[Main] If your Leader's type includes ""Whitebeard Pirates"", reveal 1 card from the top of your deck. If that card is a Character card with a type including ""Whitebeard Pirates"" and a cost of 9 or less, you may play that card. If you do, that Character gains [Rush] during this turn.<br>
[Trigger] Draw 1 card.",Blue,Event,9,Whitebeard Pirates,,,
649272,Ice Block Pheasant Peck,Ice Block Pheasant Peck,https://tcgplayer-cdn.tcgplayer.com/product/649272_200w.jpg,68,24406,https://cpt.tcgcsv.com/sKc7,2025-08-15T13:24:34.057,1,2.48,3.3,6.09,3.17,,Normal,C,OP12-057,"[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, trash 1 card from your hand.<br>
[Trigger] You may trash 1 card from your hand: Draw 1 card.",Blue,Event,1,Navy,,,
649273,Marshall.D.Teach,MarshallDTeach,https://tcgplayer-cdn.tcgplayer.com/product/649273_200w.jpg,68,24406,https://cpt.tcgcsv.com/tKc7,2025-08-15T13:24:28.317,1,0.44,0.72,7.61,0.86,,Normal,C,OP12-054,"[On Play] If your Leader has the ""The Seven Warlords of the Sea"" type, return up to 1 Character with a cost of 1 or less other than this Character to the owner's hand.",Blue,Character,1,Blackbeard Pirates;The Seven Warlords of the Sea,2000,1000,Special
649274,Fullbody,Fullbody,https://tcgplayer-cdn.tcgplayer.com/product/649274_200w.jpg,68,24406,https://cpt.tcgcsv.com/vKc7,2025-08-15T13:24:20.327,1,0.1,0.5,2.0,0.48,,Normal,C,OP12-052,,Blue,Character,4,Navy,6000,1000,Strike
649275,Donquixote Rosinante (048),Donquixote Rosinante 048,https://tcgplayer-cdn.tcgplayer.com/product/649275_200w.jpg,68,24406,https://cpt.tcgcsv.com/wKc7,2025-08-15T13:24:14.557,1,1.98,2.5,9.99,2.71,,Normal,C,OP12-048,"[Opponent's Turn] If your blue ""Navy"" type Character would be removed from the field by your opponent's effect, you may rest this Character and trash 1 card from your hand instead.",Blue,Character,1,Navy,1000,1000,Special
649276,Zephyr(Navy),ZephyrNavy,https://tcgplayer-cdn.tcgplayer.com/product/649276_200w.jpg,68,24406,https://cpt.tcgcsv.com/xKc7,2025-08-15T13:24:08.487,1,1.34,1.61,8.0,1.51,,Normal,C,OP12-046,"[On Play] Trash 2 cards from your hand.<br>
[Activate: Main] <strong>You may trash this Character:</strong> Return up to 1 Character with a cost of 5 or less to the owner's hand.",Blue,Character,5,FILM;Navy,5000,2000,Strike
649277,Jango,Jango,https://tcgplayer-cdn.tcgplayer.com/product/649277_200w.jpg,68,24406,https://cpt.tcgcsv.com/zKc7,2025-08-15T13:24:03.363,1,0.1,0.28,1.49,0.27,,Normal,C,OP12-045,,Blue,Character,6,Navy,8000,1000,Slash
649278,Alvida,Alvida,https://tcgplayer-cdn.tcgplayer.com/product/649278_200w.jpg,68,24406,https://cpt.tcgcsv.com/BKc7,2025-08-15T13:23:57.91,1,0.85,2.15,10.0,2.19,,Normal,C,OP12-042,"If you have 2 or more Characters with a base cost of 5 or more, this Character gains +1 cost.<br>
[On Play] Place up to 1 of your opponent's Characters with a base cost of 1 or less at the bottom of the owner's deck.",Blue,Character,4,Cross Guild,5000,1000,Strike
649279,Two-Sword Style Rashomon,Two Sword Style Rashomon,https://tcgplayer-cdn.tcgplayer.com/product/649279_200w.jpg,68,24406,https://cpt.tcgcsv.com/CKc7,2025-08-15T13:23:52.183,1,1.06,2.07,14.99,2.37,,Normal,C,OP12-038,"[Main] <strong>You may rest 2 of your DON!! cards:</strong> K.O. up to 2 of your opponent's rested Characters with a base cost of 4 or less.<br>
[Counter] Your Leader gains +3000 power during this battle.",Green,Event,1,Straw Hat Crew,,,
649280,Roronoa Zoro (036),Roronoa Zoro 036,https://tcgplayer-cdn.tcgplayer.com/product/649280_200w.jpg,68,24406,https://cpt.tcgcsv.com/DKc7,2025-08-15T13:23:46.3,1,1.65,2.0,8.49,1.69,,Normal,C,OP12-036,"This card in your hand cannot be played by effects.<br>
If your Leader has the (Slash) attribute, this Character cannot be K.O.'d in battle by (Slash) attribute cards and gains +1000 power.",Green,Character,4,Straw Hat Crew;Supernovas,5000,1000,Slash
649281,Morgan,Morgan,https://tcgplayer-cdn.tcgplayer.com/product/649281_200w.jpg,68,24406,https://cpt.tcgcsv.com/FKc7,2025-08-15T13:23:40.09,1,0.39,0.7,8.0,0.79,,Normal,C,OP12-035,,Green,Character,3,Navy;East Blue,5000,1000,Slash
649282,Helmeppo,Helmeppo,https://tcgplayer-cdn.tcgplayer.com/product/649282_200w.jpg,68,24406,https://cpt.tcgcsv.com/GKc7,2025-08-15T13:23:28.807,1,0.25,1.0,4.99,1.11,,Normal,C,OP12-033,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em><br>
[On Block] Rest up to 1 of your opponent's Characters with a cost of 5 or less.",Green,Character,4,Navy;East Blue,5000,,Slash
649284,Kin'emon,Kinemon,https://tcgplayer-cdn.tcgplayer.com/product/649284_200w.jpg,68,24406,https://cpt.tcgcsv.com/JKc7,2025-08-15T13:23:22.11,1,0.1,0.38,2.0,0.37,,Normal,C,OP12-025,,Green,Character,6,Land of Wano;The Akazaya Nine,8000,1000,Slash
649285,Gyukimaru,Gyukimaru,https://tcgplayer-cdn.tcgplayer.com/product/649285_200w.jpg,68,24406,https://cpt.tcgcsv.com/KKc7,2025-08-15T13:23:16.37,1,0.8,1.11,4.99,1.11,,Normal,C,OP12-024,"If this Character is active, this Character cannot be K.O.'d by your opponent's effects.<br>
[When Attacking] If you have a total of 3 or more given DON!! cards, rest up to 1 of your opponent's Characters with a base cost of 6 or less.",Green,Character,4,Animal;Land of Wano,5000,1000,Slash
649286,Inuarashi,Inuarashi,https://tcgplayer-cdn.tcgplayer.com/product/649286_200w.jpg,68,24406,https://cpt.tcgcsv.com/LKc7,2025-08-15T13:23:09.537,1,0.91,1.65,5.0,1.86,,Normal,C,OP12-022,[Activate: Main] You may rest this Character: Up to 1 of your opponent's rested Characters with a cost of 5 or less will not become active in your opponent's next Refresh Phase.,Green,Character,6,Land of Wano;Minks;The Akazaya Nine,7000,1000,Slash
649287,Ipponmatsu,Ipponmatsu,https://tcgplayer-cdn.tcgplayer.com/product/649287_200w.jpg,68,24406,https://cpt.tcgcsv.com/MKc7,2025-08-15T13:23:02.523,1,0.1,0.65,2.99,0.76,,Normal,C,OP12-021,"If your Leader has the (Slash) attribute and you have 6 or more rested DON!! cards, this Character cannot be rested by your opponent's effects.<br>
[Blocker]",Green,Character,3,East Blue,,1000,Wisdom
649288,Color of Arms Haki,Color of Arms Haki,https://tcgplayer-cdn.tcgplayer.com/product/649288_200w.jpg,68,24406,https://cpt.tcgcsv.com/NKc7,2025-08-15T13:22:56.243,1,2.0,3.38,10.0,3.24,,Normal,C,OP12-019,"[Main] <strong>You may give 1 active DON!! card to 1 of your [Silvers Rayleigh]:</strong> Up to 1 of your Leader or Character cards gains +1000 power during this turn.<br>
[Counter] Up to 1 of your Characters or [Silvers Rayleigh] gains +2000 power during this battle.",Red,Event,,Former Roger Pirates,,,
649289,To Never Doubt--That Is Power!,To Never Doubt That Is Power,https://tcgplayer-cdn.tcgplayer.com/product/649289_200w.jpg,68,24406,https://cpt.tcgcsv.com/PKc7,2025-08-15T13:22:50.897,1,1.94,2.89,9.89,2.52,,Normal,C,OP12-016,"[Main] <strong>You may give 2 active DON!! cards to 1 of your [Silvers Rayleigh]:</strong> Your opponent cannot activate [Blocker] when the card given these DON!! cards attacks during this turn.<br>
[Counter] Up to 1 of your Characters or [Silvers Rayleigh] gains +2000 power during this battle.",Red,Event,,Former Roger Pirates,,,
649290,Hatchan,Hatchan,https://tcgplayer-cdn.tcgplayer.com/product/649290_200w.jpg,68,24406,https://cpt.tcgcsv.com/QKc7,2025-08-15T13:22:45.157,1,0.2,0.97,4.99,1.02,,Normal,C,OP12-013,[Activate: Main] <strong>You may rest this Character and reveal 2 Events from your hand:</strong> Give up to 2 rested DON!! cards to your Leader or 1 of your Characters.,Red,Character,1,Fish-Man;Former Arlong Pirates,2000,1000,Slash
649291,Buggy (012),Buggy 012,https://tcgplayer-cdn.tcgplayer.com/product/649291_200w.jpg,68,24406,https://cpt.tcgcsv.com/RKc7,2025-08-15T13:22:40.143,1,0.49,1.24,3.0,1.24,,Normal,C,OP12-012,"[On Play] Up to 1 of your Characters with a type including ""Roger Pirates"" other than [Buggy] gains [Blocker] until the end of your opponent's next End Phase.",Red,Character,2,Roger Pirates,2000,1000,Slash
649292,Duval,Duval,https://tcgplayer-cdn.tcgplayer.com/product/649292_200w.jpg,68,24406,https://cpt.tcgcsv.com/SKc7,2025-08-15T13:22:34.827,1,0.29,0.7,4.0,0.77,,Normal,C,OP12-011,,Red,Character,5,The Flying Fish Riders,7000,1000,Ranged
649293,Shanks (007),Shanks 007,https://tcgplayer-cdn.tcgplayer.com/product/649293_200w.jpg,68,24406,https://cpt.tcgcsv.com/TKc7,2025-08-15T13:22:29.173,1,1.5,2.37,5.0,2.74,,Normal,C,OP12-007,"[On Play] Up to 1 of your Characters with a type including ""Roger Pirates"" other than [Shanks] gains [Rush] during this turn.<br>
<em>(This card can attack on the turn in which it is played.)</em>",Red,Character,2,Roger Pirates,2000,1000,Slash
649294,Shiki,Shiki,https://tcgplayer-cdn.tcgplayer.com/product/649294_200w.jpg,68,24406,https://cpt.tcgcsv.com/VKc7,2025-08-15T13:22:23.197,1,0.1,0.35,1.8,0.3,,Normal,C,OP12-005,,Red,Character,8,FILM;Golden Lion Pirates,10000,1000,Slash
