groupId,name,abbreviation,isSupplemental,publishedOn,modifiedOn,categoryId
24475,Phantom Revenge,PHRE,False,2025-12-05T00:00:00,2025-10-03T19:36:23.48,2
24396,Legendary 5D's Decks,L5DD,False,2025-11-07T00:00:00,2025-09-23T11:54:37.243,2
24392,THE CHRONICLES DECK: The Fallen & The Virtuous (All-Foil Edition),CD01,False,2025-10-24T00:00:00,2025-09-16T11:32:20.117,2
24358,OTS Tournament Pack 29,OP29,False,2025-10-15T00:00:00,2025-06-12T18:08:25.643,2
24460,eFootball Collaboration Promos,EFC1,False,2025-09-27T00:00:00,2025-10-01T16:49:52.227,2
24357,Doom of Dimensions,DOOD,False,2025-09-26T00:00:00,2025-10-03T18:57:49.66,2
24308,2025 Mega-Pack,MP25,False,2025-09-05T00:00:00,2025-09-14T15:13:43.613,2
24353,Limited Pack World Championship 2025,25LP,False,2025-08-30T00:00:00,2025-09-15T19:30:05.6,2
24352,Retro Pack 2 (2020 Date Reprint),RP02,False,2025-08-22T00:00:00,2025-09-02T17:01:43.743,2
24320,Justice Hunters,JUSH,False,2025-08-01T00:00:00,2025-09-16T19:45:28.933,2
24265,Duelist's Advance,DUAD,False,2025-07-04T00:00:00,2025-09-06T01:40:59.13,2
24264,OTS Tournament Pack 28,OP28,False,2025-06-18T00:00:00,2025-06-18T11:32:31.47,2
24263,Battles of Legend: Monster Mayhem,BLMM,False,2025-06-13T00:00:00,2025-09-30T22:45:27.71,2
24351,Yu-Gi-Oh! Championship Series 2025 Prize Cards,25YC,False,2025-06-08T00:00:00,2025-06-12T17:58:21.343,2
23995,Alliance Insight,ALIN,False,2025-05-02T00:00:00,2025-09-16T15:27:53.417,2
23891,Quarter Century Stampede,,False,2025-04-11T00:00:00,2025-07-21T19:57:11.26,2
23849,Maze of the Master,MZTM,False,2025-03-14T00:00:00,2025-09-16T13:28:28.733,2
24250,Early Days Collection Promotional Cards,EDC1,False,2025-02-28T00:00:00,2025-04-10T13:09:47.977,2
23786,OTS Tournament Pack 27,OP27,False,2025-02-26T00:00:00,2025-04-21T20:03:17.467,2
